time:322412, score:-531.000000, speed:-2.384975
time:323421, score:-533.000000, speed:-2.383790
time:324435, score:-535.000000, speed:-2.382607
time:325440, score:-537.000000, speed:-2.283558
time:326449, score:-539.000000, speed:-2.283332
time:327460, score:-542.000000, speed:-2.380952
time:328471, score:-544.000000, speed:-2.279937
time:329474, score:-546.000000, speed:-2.280163
time:330486, score:-548.000000, speed:-2.181241
time:331488, score:-551.000000, speed:-2.281520
time:332495, score:-553.000000, speed:-2.182107
time:333500, score:-555.000000, speed:-2.182756
time:334505, score:-557.000000, speed:-2.184707
time:335517, score:-559.000000, speed:-2.183189
time:336528, score:-562.000000, speed:-2.281746
time:337541, score:-564.000000, speed:-2.182323
time:338556, score:-566.000000, speed:-2.181241
time:339568, score:-568.000000, speed:-2.179297
time:340581, score:-570.000000, speed:-2.179297
time:341589, score:-572.000000, speed:-2.078796
time:342599, score:-574.000000, speed:-2.078179
time:343607, score:-577.000000, speed:-2.176709
time:344610, score:-578.000000, speed:-2.078179
time:345612, score:-581.000000, speed:-2.179297
time:346624, score:-583.000000, speed:-2.080238
time:347630, score:-585.000000, speed:-2.081475
time:348638, score:-588.000000, speed:-2.182107
time:349652, score:-590.000000, speed:-2.181890
time:350664, score:-592.000000, speed:-2.181890
time:351674, score:-594.000000, speed:-2.181458
time:352676, score:-596.000000, speed:-2.183189
time:353690, score:-599.000000, speed:-2.181890
time:354703, score:-601.000000, speed:-2.278807
time:355711, score:-603.000000, speed:-2.178649
time:356717, score:-606.000000, speed:-2.278807
time:357725, score:-608.000000, speed:-2.278356
time:358734, score:-610.000000, speed:-2.179081
time:359740, score:-612.000000, speed:-2.180593
time:360753, score:-615.000000, speed:-2.279937
time:361757, score:-617.000000, speed:-2.281067
time:362760, score:-619.000000, speed:-2.280841
time:363771, score:-622.000000, speed:-2.281520
time:364779, score:-624.000000, speed:-2.282652
time:365785, score:-626.000000, speed:-2.282878
time:366790, score:-628.000000, speed:-2.183840
time:367797, score:-631.000000, speed:-2.283558
time:368800, score:-633.000000, speed:-2.285147
time:369808, score:-636.000000, speed:-2.384027
time:370809, score:-638.000000, speed:-2.287192
time:371820, score:-640.000000, speed:-2.285828
time:372821, score:-642.000000, speed:-2.286055
time:373822, score:-644.000000, speed:-2.188837
time:374825, score:-647.000000, speed:-2.289468
time:375828, score:-649.000000, speed:-2.290380
time:376837, score:-651.000000, speed:-2.289241
time:377847, score:-653.000000, speed:-2.189273
time:378849, score:-656.000000, speed:-2.288557
time:379855, score:-658.000000, speed:-2.189708
time:380865, score:-661.000000, speed:-2.286964
time:381876, score:-663.000000, speed:-2.286964
time:382878, score:-664.000000, speed:-2.187531
time:383887, score:-666.000000, speed:-2.185792
time:384891, score:-668.000000, speed:-2.086231
time:385900, score:-671.000000, speed:-2.184056
time:386913, score:-673.000000, speed:-2.183623
time:387924, score:-675.000000, speed:-2.182973
time:388932, score:-678.000000, speed:-2.181890
time:389935, score:-679.000000, speed:-2.083127
time:390936, score:-681.000000, speed:-1.985900
time:391944, score:-682.000000, speed:-1.887167
time:392947, score:-683.000000, speed:-1.886980
time:393951, score:-686.000000, speed:-1.987281
time:394958, score:-688.000000, speed:-1.986689
time:395966, score:-690.000000, speed:-1.887730
time:396972, score:-693.000000, speed:-1.988072
time:397980, score:-695.000000, speed:-1.988862
time:398982, score:-697.000000, speed:-1.890547
time:399989, score:-700.000000, speed:-2.088721
time:400990, score:-699.000000, speed:-1.790332
time:401992, score:-701.000000, speed:-1.891112
time:402992, score:-702.000000, speed:-1.891488
time:404003, score:-705.000000, speed:-1.890171
time:405008, score:-707.000000, speed:-1.890735
time:406012, score:-706.000000, speed:-1.592515
time:407019, score:-708.000000, speed:-1.492983
time:408029, score:-709.000000, speed:-1.393173
time:409043, score:-711.000000, speed:-1.391512
time:410055, score:-712.000000, speed:-1.192132
time:411063, score:-712.000000, speed:-1.290579
time:412066, score:-713.000000, speed:-1.191067
time:413071, score:-715.000000, speed:-1.289810
time:414085, score:-717.000000, speed:-1.190240
time:415089, score:-717.000000, speed:-0.991965
time:416089, score:-718.000000, speed:-1.190831
